0.603677,0.737899,0.694858,0.046397
0.600977,0.109164,0.366732,0.587506
0.031732,0.972736,0.538941,0.604564
0.842439,0.101642,0.142507,0.039095
0.447334,0.240816,0.901892,0.817830
0.112031,0.388784,0.359159,0.636169
0.941443,0.796600,0.904327,0.396510
0.116603,0.372332,0.690043,0.937449
0.981418,0.278683,0.959472,0.123693
0.852675,0.664057,0.410507,0.425755
0.733462,0.855886,0.534004,0.466128
0.584181,0.158473,0.343518,0.370618
0.725959,0.633293,0.517964,0.141823
0.293412,0.928528,0.611159,0.467384
0.289875,0.668865,0.547049,0.218397
0.631182,0.537069,0.406927,0.490355
0.396631,0.838735,0.794031,0.720935
0.905710,0.572050,0.002636,0.377113
0.329508,0.781288,0.766015,0.389293
0.528425,0.448186,0.998887,0.229887
0.705652,0.471214,0.745097,0.644557
0.334256,0.242135,0.083188,0.371341
0.709693,0.545915,0.683871,0.320089
0.754382,0.649766,0.000653,0.904609
0.455476,0.283333,0.243154,0.605208
0.381271,0.344504,1.041011,0.866824
0.681427,0.678630,0.899234,0.214247
0.945745,0.998590,0.025068,0.476529
0.376406,0.038670,0.440430,0.288135
0.422232,0.466469,0.623082,0.915853
0.818465,0.356308,0.564036,0.097553
0.292681,0.452558,0.168389,0.728456
0.437661,0.696195,0.869772,0.082117
0.459128,0.302334,0.048099,0.049712
0.247014,0.955336,0.229810,0.562755
0.953294,0.745032,0.881512,0.413349
0.972973,0.619742,0.964385,0.211531
0.878425,0.123111,0.720669,0.169997
0.438231,0.291924,0.123160,0.260099
0.864624,0.420634,0.854039,0.014996
0.569508,0.988164,0.169124,0.100856
0.791774,0.403856,0.024815,0.925580
0.499735,0.434206,0.548941,0.650166
0.154345,0.814604,0.342545,0.309310
0.768946,0.316554,0.354554,0.018787
0.387278,0.672331,0.342462,0.589740
0.623691,0.473653,0.599642,0.338946
0.263888,0.528397,0.268303,0.528307
0.242266,0.560342,0.664364,0.683745
0.759032,0.596057,0.223054,0.728966
0.042346,0.495020,0.926096,0.360409
0.982759,0.661708,0.733874,0.914117
0.253605,0.603990,0.447559,0.769347
0.574848,0.954478,0.412874,0.230221
0.768784,0.639709,0.084470,0.544032
0.431047,0.555292,0.074904,0.047184
0.767836,0.147631,0.352567,0.372618
0.728375,0.278321,0.453334,0.855989
0.921458,0.156721,0.035699,0.781013
0.536819,0.049755,0.155973,0.381508
0.504670,0.809654,0.438208,0.782629
0.187253,0.135497,0.200368,0.311939
0.144316,0.557963,0.552624,0.417460
0.553955,0.522164,0.548561,0.388797
0.809114,0.508864,0.770165,0.067214
0.897470,0.544653,0.288322,0.742259
0.105419,0.082342,0.583787,0.511451
